Timestamp,/DriverStation/AllianceStation,/DriverStation/Autonomous,/DriverStation/DSAttached,/DriverStation/EmergencyStop,/DriverStation/Enabled,/DriverStation/EventName,/DriverStation/FMSAttached,/DriverStation/GameSpecificMessage,/DriverStation/Joystick0/AxisTypes,/DriverStation/Joystick0/AxisValues,/DriverStation/Joystick0/ButtonCount,/DriverStation/Joystick0/ButtonValues,/DriverStation/Joystick0/Name,/DriverStation/Joystick0/POVs,/DriverStation/Joystick0/Type,/DriverStation/Joystick0/Xbox,/DriverStation/Joystick1/AxisTypes,/DriverStation/Joystick1/AxisValues,/DriverStation/Joystick1/ButtonCount,/DriverStation/Joystick1/ButtonValues,/DriverStation/Joystick1/Name,/DriverStation/Joystick1/POVs,/DriverStation/Joystick1/Type,/DriverStation/Joystick1/Xbox,/DriverStation/Joystick2/AxisTypes,/DriverStation/Joystick2/AxisValues,/DriverStation/Joystick2/ButtonCount,/DriverStation/Joystick2/ButtonValues,/DriverStation/Joystick2/Name,/DriverStation/Joystick2/POVs,/DriverStation/Joystick2/Type,/DriverStation/Joystick2/Xbox,/DriverStation/Joystick3/AxisTypes,/DriverStation/Joystick3/AxisValues,/DriverStation/Joystick3/ButtonCount,/DriverStation/Joystick3/ButtonValues,/DriverStation/Joystick3/Name,/DriverStation/Joystick3/POVs,/DriverStation/Joystick3/Type,/DriverStation/Joystick3/Xbox,/DriverStation/Joystick4/AxisTypes,/DriverStation/Joystick4/AxisValues,/DriverStation/Joystick4/ButtonCount,/DriverStation/Joystick4/ButtonValues,/DriverStation/Joystick4/Name,/DriverStation/Joystick4/POVs,/DriverStation/Joystick4/Type,/DriverStation/Joystick4/Xbox,/DriverStation/Joystick5/AxisTypes,/DriverStation/Joystick5/AxisValues,/DriverStation/Joystick5/ButtonCount,/DriverStation/Joystick5/ButtonValues,/DriverStation/Joystick5/Name,/DriverStation/Joystick5/POVs,/DriverStation/Joystick5/Type,/DriverStation/Joystick5/Xbox,/DriverStation/MatchNumber,/DriverStation/MatchTime,/DriverStation/MatchType,/DriverStation/ReplayNumber,/DriverStation/Test,/PowerDistribution/ChannelCount,/PowerDistribution/ChannelCurrent,/PowerDistribution/Faults,/PowerDistribution/StickyFaults,/PowerDistribution/Temperature,/PowerDistribution/TotalCurrent,/PowerDistribution/TotalEnergy,/PowerDistribution/TotalPower,/PowerDistribution/Voltage,/RealMetadata/ChargedUp,/RealOutputs/Console,/RealOutputs/LoggedRobot/FullCycleMS,/RealOutputs/LoggedRobot/LogPeriodicMS,/RealOutputs/LoggedRobot/UserCodeMS,/RealOutputs/Logger/ConduitPeriodicMS,/RealOutputs/Logger/ConsolePeriodicMS,/RealOutputs/Logger/QueuedCycles,/RealOutputs/Logger/SavePeriodicMS,/RealOutputs/odometry,/SystemStats/3v3Rail/Active,/SystemStats/3v3Rail/Current,/SystemStats/3v3Rail/CurrentFaults,/SystemStats/3v3Rail/Voltage,/SystemStats/5vRail/Active,/SystemStats/5vRail/Current,/SystemStats/5vRail/CurrentFaults,/SystemStats/5vRail/Voltage,/SystemStats/6vRail/Active,/SystemStats/6vRail/Current,/SystemStats/6vRail/CurrentFaults,/SystemStats/6vRail/Voltage,/SystemStats/BatteryCurrent,/SystemStats/BatteryVoltage,/SystemStats/BrownedOut,/SystemStats/CANBus/OffCount,/SystemStats/CANBus/ReceiveErrorCount,/SystemStats/CANBus/TransmitErrorCount,/SystemStats/CANBus/TxFullCount,/SystemStats/CANBus/Utilization,/SystemStats/EpochTimeMicros,/SystemStats/SystemActive,/Timestamp
1.25454,0,true,true,false,false,"",false,"",[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,0,-1,0,0,false,24,[0;0;0;0;5e-324;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],0,536870911,-2.818534074941855e-99,0,9.910920905e-314,-2.3955389835803455e-98,12.3671875,"Robbinsville","********** Robot program starting **********\nNT: Listening on NT3 port 1735; NT4 port 5810\nNT: Got a NT4 connection from 10.2.93.190 port 53208\nNT: CONNECTED NT4 client 'AdvantageScope@1' (from 10.2.93.190:53208)\nNT: Got a NT4 connection from 10.2.93.190 port 53207\nNT: CONNECTED NT4 client 'shuffleboard@2' (from 10.2.93.190:53207)\nWPIUtil: Mocking time is not available on the Rio\nDataLog: Logging to '/media/sda1/temp.wpilog'\nInstantiating navX-Sensor on Serial Port kMXP.\nnavX-Sensor Java library for FRC\nOpening TTL UART  serial port to communicate with navX-Sensor.\nnavX-Sensor Connected via TTL UART.\nnavX-Sensor onboard startup calibration complete.\nnavX-Sensor Yaw angle auto-reset to 0.0 due to startup calibration.\nnavX-Sensor Connected.\nWarning at edu.wpi.first.wpilibj.DriverStation.reportJoystickUnpluggedWarning(DriverStation.java:702): Joystick Button 6 on port 1 not available; check if controller is plugged in",null,null,null,0.592,62.572,0,53.106,null,true,0.0030693359375,0,3.1853955078125002,true,0.065248046875,0,4.9170034179687505,true,0.030407714843749996,0,5.90485400390625,0.33674316406250004,12.290925048828125,false,0,0,0,0,0.1543130725622177,1679853169623077,false,1254540
6.985093,0,true,true,false,false,"",false,"",[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,0,-1,0,0,false,24,[0;0;0;0;5e-324;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],0,536870911,-2.818534074941855e-99,0,9.910920905e-314,-2.3955389835803455e-98,12.375,"Robbinsville","********** Robot program startup complete **********\nRetransmitting stream configuration command to navX-Sensor.\nnavX-Sensor Configuration Response Received.\nWarning at edu.wpi.first.wpilibj.IterativeRobotBase.printLoopOverrunMessage(IterativeRobotBase.java:387): Loop time of 0.02s overrun\n\nCommandScheduler loop overrun\nnavX-Sensor Board Type 50 (navX2-MXP (Gen 2))\nnavX-Sensor firmware version 4.0\nWarning at edu.wpi.first.wpilibj.Tracer.lambda$printEpochs$0(Tracer.java:70): \tTargeting.periodic(): 0.009722s\n\tDrivetrain.periodic(): 0.100334s\n\tArm.periodic(): 0.087654s\n\tbuttons.run(): 0.030597s\n\tClaw.periodic(): 0.000098s\n\nWarning at edu.wpi.first.wpilibj.Tracer.lambda$printEpochs$0(Tracer.java:70): \tSmartDashboard.updateValues(): 0.005738s\n\tdisabledInit(): 0.000784s\n\trobotPeriodic(): 0.559645s\n\tLiveWindow.updateValues(): 0.000119s\n\tShuffleboard.update(): 0.000083s\n\tdisabledPeriodic(): 0.000692s",610.583,6.184,604.399,0.153,79.856,0,5.287,[-0.00021484324760303098;0;-0.00018749956154446345],true,0.0030693359375,0,3.1877890625000003,true,0.056963867187499996,0,4.91263671875,true,0.031766601562499996,0,5.9014267578125,0.34506445312500006,12.29720751953125,false,0,0,0,0,0.27644020318984985,1679853175353452,false,6985093
7.686173,0,true,true,false,false,"",false,"",[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,0,-1,0,0,false,24,[0;0;0;0;5e-324;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],0,536870911,-2.818534074941855e-99,0,9.910920905e-314,-2.3955389835803455e-98,12.3671875,"Robbinsville","********** Robot program startup complete **********\nRetransmitting stream configuration command to navX-Sensor.\nnavX-Sensor Configuration Response Received.\nWarning at edu.wpi.first.wpilibj.IterativeRobotBase.printLoopOverrunMessage(IterativeRobotBase.java:387): Loop time of 0.02s overrun\n\nCommandScheduler loop overrun\nnavX-Sensor Board Type 50 (navX2-MXP (Gen 2))\nnavX-Sensor firmware version 4.0\nWarning at edu.wpi.first.wpilibj.Tracer.lambda$printEpochs$0(Tracer.java:70): \tTargeting.periodic(): 0.009722s\n\tDrivetrain.periodic(): 0.100334s\n\tArm.periodic(): 0.087654s\n\tbuttons.run(): 0.030597s\n\tClaw.periodic(): 0.000098s\n\nWarning at edu.wpi.first.wpilibj.Tracer.lambda$printEpochs$0(Tracer.java:70): \tSmartDashboard.updateValues(): 0.005738s\n\tdisabledInit(): 0.000784s\n\trobotPeriodic(): 0.559645s\n\tLiveWindow.updateValues(): 0.000119s\n\tShuffleboard.update(): 0.000083s\n\tdisabledPeriodic(): 0.000692s",23.632,15.455,8.177,0.147,2.083,0,15.171,[-0.00021484324760303098;0;-0.00018749956154446345],true,0.0024624023437499996,0,3.1877890625000003,true,0.063298828125,0,4.9097255859375,true,0.031766601562499996,0,5.9014267578125,0.34090380859375,12.3097724609375,false,0,0,0,0,0.28944703936576843,1679853176054532,false,7686173
7.717332,0,true,true,false,false,"",false,"",[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,0,-1,0,0,false,24,[0;0;0;0;5e-324;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],0,536870911,-2.818534074941855e-99,0,9.910920905e-314,-2.3955389835803455e-98,12.359375,"Robbinsville","********** Robot program startup complete **********\nRetransmitting stream configuration command to navX-Sensor.\nnavX-Sensor Configuration Response Received.\nWarning at edu.wpi.first.wpilibj.IterativeRobotBase.printLoopOverrunMessage(IterativeRobotBase.java:387): Loop time of 0.02s overrun\n\nCommandScheduler loop overrun\nnavX-Sensor Board Type 50 (navX2-MXP (Gen 2))\nnavX-Sensor firmware version 4.0\nWarning at edu.wpi.first.wpilibj.Tracer.lambda$printEpochs$0(Tracer.java:70): \tTargeting.periodic(): 0.009722s\n\tDrivetrain.periodic(): 0.100334s\n\tArm.periodic(): 0.087654s\n\tbuttons.run(): 0.030597s\n\tClaw.periodic(): 0.000098s\n\nWarning at edu.wpi.first.wpilibj.Tracer.lambda$printEpochs$0(Tracer.java:70): \tSmartDashboard.updateValues(): 0.005738s\n\tdisabledInit(): 0.000784s\n\trobotPeriodic(): 0.559645s\n\tLiveWindow.updateValues(): 0.000119s\n\tShuffleboard.update(): 0.000083s\n\tdisabledPeriodic(): 0.000692s",13.914,6.073,7.841,0.212,0.146,0,5.712,[-0.00021484324760303098;0;-0.00018749956154446345],true,0.0024624023437499996,0,3.1877890625000003,true,0.060375,0,4.91263671875,true,0.031766601562499996,0,5.906567626953125,0.34506445312500006,12.290925048828125,false,0,0,0,0,0.30226749181747437,1679853176085755,false,7717332
7.737658,0,true,true,false,false,"",false,"",[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,0,-1,0,0,false,24,[0;0;0;0;5e-324;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],0,536870911,-2.818534074941855e-99,0,9.910920905e-314,-2.3955389835803455e-98,12.359375,"Robbinsville","********** Robot program startup complete **********\nRetransmitting stream configuration command to navX-Sensor.\nnavX-Sensor Configuration Response Received.\nWarning at edu.wpi.first.wpilibj.IterativeRobotBase.printLoopOverrunMessage(IterativeRobotBase.java:387): Loop time of 0.02s overrun\n\nCommandScheduler loop overrun\nnavX-Sensor Board Type 50 (navX2-MXP (Gen 2))\nnavX-Sensor firmware version 4.0\nWarning at edu.wpi.first.wpilibj.Tracer.lambda$printEpochs$0(Tracer.java:70): \tTargeting.periodic(): 0.009722s\n\tDrivetrain.periodic(): 0.100334s\n\tArm.periodic(): 0.087654s\n\tbuttons.run(): 0.030597s\n\tClaw.periodic(): 0.000098s\n\nWarning at edu.wpi.first.wpilibj.Tracer.lambda$printEpochs$0(Tracer.java:70): \tSmartDashboard.updateValues(): 0.005738s\n\tdisabledInit(): 0.000784s\n\trobotPeriodic(): 0.559645s\n\tLiveWindow.updateValues(): 0.000119s\n\tShuffleboard.update(): 0.000083s\n\tdisabledPeriodic(): 0.000692s",14.201,5.083,9.118,0.141,0.133,0,4.692,[-0.00021484324760303098;0;-0.00018749956154446345],true,0.0030693359375,0,3.1865922851562503,true,0.0618369140625,0,4.914092285156251,true,0.031766601562499996,0,5.9014267578125,0.33258251953125,12.290925048828125,false,0,0,0,0,0.25415948033332825,1679853176106010,false,7737658
7.757453,0,true,true,false,false,"",false,"",[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,0,-1,0,0,false,24,[0;0;0;0;5e-324;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],0,536870911,-2.818534074941855e-99,0,9.910920905e-314,-2.3955389835803455e-98,12.359375,"Robbinsville","********** Robot program startup complete **********\nRetransmitting stream configuration command to navX-Sensor.\nnavX-Sensor Configuration Response Received.\nWarning at edu.wpi.first.wpilibj.IterativeRobotBase.printLoopOverrunMessage(IterativeRobotBase.java:387): Loop time of 0.02s overrun\n\nCommandScheduler loop overrun\nnavX-Sensor Board Type 50 (navX2-MXP (Gen 2))\nnavX-Sensor firmware version 4.0\nWarning at edu.wpi.first.wpilibj.Tracer.lambda$printEpochs$0(Tracer.java:70): \tTargeting.periodic(): 0.009722s\n\tDrivetrain.periodic(): 0.100334s\n\tArm.periodic(): 0.087654s\n\tbuttons.run(): 0.030597s\n\tClaw.periodic(): 0.000098s\n\nWarning at edu.wpi.first.wpilibj.Tracer.lambda$printEpochs$0(Tracer.java:70): \tSmartDashboard.updateValues(): 0.005738s\n\tdisabledInit(): 0.000784s\n\trobotPeriodic(): 0.559645s\n\tLiveWindow.updateValues(): 0.000119s\n\tShuffleboard.update(): 0.000083s\n\tdisabledPeriodic(): 0.000692s",13.151,5.022,8.129,0.126,0.251,0,4.765,[-0.00021484324760303098;0;-0.00018749956154446345],true,0.0030693359375,0,3.1889858398437503,true,0.0637861328125,0,4.914092285156251,true,0.030407714843749996,0,5.9014267578125,0.32842187500000003,12.29720751953125,false,0,0,0,0,0.5971695780754089,1679853176125796,false,7757453
7.795822,0,true,true,false,false,"",false,"",[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,0,-1,0,0,false,24,[0;0;0;0;5e-324;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],0,536870911,-2.818534074941855e-99,0,9.910920905e-314,-2.3955389835803455e-98,12.359375,"Robbinsville","********** Robot program startup complete **********\nRetransmitting stream configuration command to navX-Sensor.\nnavX-Sensor Configuration Response Received.\nWarning at edu.wpi.first.wpilibj.IterativeRobotBase.printLoopOverrunMessage(IterativeRobotBase.java:387): Loop time of 0.02s overrun\n\nCommandScheduler loop overrun\nnavX-Sensor Board Type 50 (navX2-MXP (Gen 2))\nnavX-Sensor firmware version 4.0\nWarning at edu.wpi.first.wpilibj.Tracer.lambda$printEpochs$0(Tracer.java:70): \tTargeting.periodic(): 0.009722s\n\tDrivetrain.periodic(): 0.100334s\n\tArm.periodic(): 0.087654s\n\tbuttons.run(): 0.030597s\n\tClaw.periodic(): 0.000098s\n\nWarning at edu.wpi.first.wpilibj.Tracer.lambda$printEpochs$0(Tracer.java:70): \tSmartDashboard.updateValues(): 0.005738s\n\tdisabledInit(): 0.000784s\n\trobotPeriodic(): 0.559645s\n\tLiveWindow.updateValues(): 0.000119s\n\tShuffleboard.update(): 0.000083s\n\tdisabledPeriodic(): 0.000692s",24.732,16.578,8.154,0.153,0.157,0,16.263,[-0.00021484324760303098;0;-0.00018749956154446345],true,0.00367626953125,0,3.1889858398437503,true,0.065248046875,0,4.91263671875,true,0.03312548828125,0,5.903140380859375,0.33258251953125,12.290925048828125,false,0,0,0,0,0.27137064933776855,1679853176164189,false,7795822
7.821292,0,true,true,false,false,"",false,"",[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,0,-1,0,0,false,24,[0;0;0;0;5e-324;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],0,536870911,-2.818534074941855e-99,0,9.910920905e-314,-2.3955389835803455e-98,12.359375,"Robbinsville","********** Robot program startup complete **********\nRetransmitting stream configuration command to navX-Sensor.\nnavX-Sensor Configuration Response Received.\nWarning at edu.wpi.first.wpilibj.IterativeRobotBase.printLoopOverrunMessage(IterativeRobotBase.java:387): Loop time of 0.02s overrun\n\nCommandScheduler loop overrun\nnavX-Sensor Board Type 50 (navX2-MXP (Gen 2))\nnavX-Sensor firmware version 4.0\nWarning at edu.wpi.first.wpilibj.Tracer.lambda$printEpochs$0(Tracer.java:70): \tTargeting.periodic(): 0.009722s\n\tDrivetrain.periodic(): 0.100334s\n\tArm.periodic(): 0.087654s\n\tbuttons.run(): 0.030597s\n\tClaw.periodic(): 0.000098s\n\nWarning at edu.wpi.first.wpilibj.Tracer.lambda$printEpochs$0(Tracer.java:70): \tSmartDashboard.updateValues(): 0.005738s\n\tdisabledInit(): 0.000784s\n\trobotPeriodic(): 0.559645s\n\tLiveWindow.updateValues(): 0.000119s\n\tShuffleboard.update(): 0.000083s\n\tdisabledPeriodic(): 0.000692s",12.922,5.175,7.747,0.149,0.133,0,4.901,[-0.00021484324760303098;0;-0.00018749956154446345],true,0.0030693359375,0,3.1889858398437503,true,0.055014648437499994,0,4.918458984375,true,0.031766601562499996,0,5.899713134765625,0.34090380859375,12.290925048828125,false,0,0,0,0,0.3305976688861847,1679853176189654,false,7821292
7.841553,0,true,true,false,false,"",false,"",[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,0,-1,0,0,false,24,[0;0;0;0;5e-324;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],0,536870911,-2.818534074941855e-99,0,9.910920905e-314,-2.3955389835803455e-98,12.359375,"Robbinsville","********** Robot program startup complete **********\nRetransmitting stream configuration command to navX-Sensor.\nnavX-Sensor Configuration Response Received.\nWarning at edu.wpi.first.wpilibj.IterativeRobotBase.printLoopOverrunMessage(IterativeRobotBase.java:387): Loop time of 0.02s overrun\n\nCommandScheduler loop overrun\nnavX-Sensor Board Type 50 (navX2-MXP (Gen 2))\nnavX-Sensor firmware version 4.0\nWarning at edu.wpi.first.wpilibj.Tracer.lambda$printEpochs$0(Tracer.java:70): \tTargeting.periodic(): 0.009722s\n\tDrivetrain.periodic(): 0.100334s\n\tArm.periodic(): 0.087654s\n\tbuttons.run(): 0.030597s\n\tClaw.periodic(): 0.000098s\n\nWarning at edu.wpi.first.wpilibj.Tracer.lambda$printEpochs$0(Tracer.java:70): \tSmartDashboard.updateValues(): 0.005738s\n\tdisabledInit(): 0.000784s\n\trobotPeriodic(): 0.559645s\n\tLiveWindow.updateValues(): 0.000119s\n\tShuffleboard.update(): 0.000083s\n\tdisabledPeriodic(): 0.000692s",16.147,6.811,9.336,0.226,0.135,0,6.439,[-0.00021484324760303098;0;-0.00018749956154446345],true,0.00367626953125,0,3.1865922851562503,true,0.055501953124999996,0,4.915547851562501,true,0.03312548828125,0,5.899713134765625,0.32842187500000003,12.284642578125,false,0,0,0,0,0.24707508087158203,1679853176209911,false,7841553
7.861434,0,true,true,false,false,"",false,"",[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,[],[],0,0,"",[],0,false,0,-1,0,0,false,24,[0;0;0;0;5e-324;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],0,536870911,-2.818534074941855e-99,0,9.910920905e-314,-2.3955389835803455e-98,12.359375,"Robbinsville","********** Robot program startup complete **********\nRetransmitting stream configuration command to navX-Sensor.\nnavX-Sensor Configuration Response Received.\nWarning at edu.wpi.first.wpilibj.IterativeRobotBase.printLoopOverrunMessage(IterativeRobotBase.java:387): Loop time of 0.02s overrun\n\nCommandScheduler loop overrun\nnavX-Sensor Board Type 50 (navX2-MXP (Gen 2))\nnavX-Sensor firmware version 4.0\nWarning at edu.wpi.first.wpilibj.Tracer.lambda$printEpochs$0(Tracer.java:70): \tTargeting.periodic(): 0.009722s\n\tDrivetrain.periodic(): 0.100334s\n\tArm.periodic(): 0.087654s\n\tbuttons.run(): 0.030597s\n\tClaw.periodic(): 0.000098s\n\nWarning at edu.wpi.first.wpilibj.Tracer.lambda$printEpochs$0(Tracer.java:70): \tSmartDashboard.updateValues(): 0.005738s\n\tdisabledInit(): 0.000784s\n\trobotPeriodic(): 0.559645s\n\tLiveWindow.updateValues(): 0.000119s\n\tShuffleboard.update(): 0.000083s\n\tdisabledPeriodic(): 0.000692s",13.379,3.857,9.522,0.135,0.153,0,3.577,[-0.00021484324760303098;0;-0.00018749956154446345],true,0.0030693359375,0,3.1865922851562503,true,0.058425781249999996,0,4.91263671875,true,0.031766601562499996,0,5.9014267578125,0.32842187500000003,12.290925048828125,false,0,0,0,0,0.25903189182281494,1679853176229786,false,7861434
